date,state,service provider,throughput,latency,video resolution,age of device,resolution switches
4/1/2023,Cali,Provider A,591.77,48,4K,5,0
4/1/2023,Cali,Provider B,425.62,63,1080p,4,9
4/1/2023,Cali,Provider C,954.3,16,720p,4,0
4/1/2023,Cali,Provider D,293.59,76,720p,1,10
4/1/2023,Cali,Provider E,650.61,82,1440p,3,3
4/1/2023,Texas,Provider A,611.31,45,1440p,4,9
4/1/2023,Texas,Provider B,823.23,59,720p,1,8
4/1/2023,Texas,Provider C,793.66,100,1080p,2,10
4/1/2023,Texas,Provider D,477.15,49,720p,5,4
4/1/2023,Texas,Provider E,861.76,17,720p,2,2
4/1/2023,Illinois,Provider A,975.82,95,1080p,1,9
4/1/2023,Illinois,Provider B,919.27,65,1080p,5,7
4/1/2023,Illinois,Provider C,892.96,20,1080p,4,8
4/1/2023,Illinois,Provider D,631.67,58,480p,1,2
4/1/2023,Illinois,Provider E,305.54,32,1080p,3,5
4/2/2023,Cali,Provider A,354.18,15,1440p,2,1
4/2/2023,Cali,Provider B,525.42,14,720p,1,4
4/2/2023,Cali,Provider C,529.35,33,1080p,3,0
4/2/2023,Cali,Provider D,689.79,39,720p,1,5
4/2/2023,Cali,Provider E,368.37,60,4K,3,7
4/2/2023,Texas,Provider A,212.42,52,4K,3,3
4/2/2023,Texas,Provider B,914.49,87,720p,4,2
4/2/2023,Texas,Provider C,726.7,55,480p,4,6
4/2/2023,Texas,Provider D,140.41,92,1080p,4,8
4/2/2023,Texas,Provider E,88.1,28,720p,4,3
4/2/2023,Illinois,Provider A,368.46,77,480p,2,7
4/2/2023,Illinois,Provider B,603.26,11,720p,3,6
4/2/2023,Illinois,Provider C,843.27,61,4K,1,9
4/2/2023,Illinois,Provider D,601.6,74,1440p,2,6
4/2/2023,Illinois,Provider E,865.05,63,480p,1,9
4/3/2023,Cali,Provider A,60.93,50,1080p,1,0
4/3/2023,Cali,Provider B,116.07,21,1080p,3,8
4/3/2023,Cali,Provider C,320.76,11,1080p,4,8
4/3/2023,Cali,Provider D,798.51,33,1440p,3,6
4/3/2023,Cali,Provider E,387.71,97,720p,3,0
4/3/2023,Texas,Provider A,174.35,53,480p,2,0
4/3/2023,Texas,Provider B,514.63,11,1440p,3,0
4/3/2023,Texas,Provider C,757.56,56,720p,4,7
4/3/2023,Texas,Provider D,709.13,73,4K,3,2
4/3/2023,Texas,Provider E,867.28,36,1080p,2,2
4/3/2023,Illinois,Provider A,427.77,85,480p,2,0
4/3/2023,Illinois,Provider B,826.97,36,720p,2,10
4/3/2023,Illinois,Provider C,431.18,74,1440p,5,8
4/3/2023,Illinois,Provider D,180.88,68,4K,5,5
4/3/2023,Illinois,Provider E,590.38,17,480p,5,5
4/4/2023,Cali,Provider A,277.55,26,1440p,4,7
4/4/2023,Cali,Provider B,578.73,62,720p,4,8
4/4/2023,Cali,Provider C,925.14,13,1080p,5,8
4/4/2023,Cali,Provider D,68.84,17,720p,5,5
4/4/2023,Cali,Provider E,822.84,84,480p,3,5
4/4/2023,Texas,Provider A,467.1,44,720p,2,6
4/4/2023,Texas,Provider B,695.8,75,480p,1,6
4/4/2023,Texas,Provider C,614.86,63,4K,5,8
4/4/2023,Texas,Provider D,495.94,59,480p,2,6
4/4/2023,Texas,Provider E,564.99,44,480p,1,7
4/4/2023,Illinois,Provider A,515.78,48,720p,1,10
4/4/2023,Illinois,Provider B,225.74,81,1440p,4,10
4/4/2023,Illinois,Provider C,333.08,99,1440p,3,3
4/4/2023,Illinois,Provider D,466.37,14,1440p,4,8
4/4/2023,Illinois,Provider E,445.81,24,480p,4,2
4/5/2023,Cali,Provider A,735.63,100,1440p,5,1
4/5/2023,Cali,Provider B,508.17,70,1440p,5,3
4/5/2023,Cali,Provider C,685.7,29,1080p,4,5
4/5/2023,Cali,Provider D,721.48,73,480p,5,7
4/5/2023,Cali,Provider E,252.85,97,720p,4,2
4/5/2023,Texas,Provider A,636.07,95,480p,2,1
4/5/2023,Texas,Provider B,720.07,17,4K,3,8
4/5/2023,Texas,Provider C,590.12,32,1080p,1,9
4/5/2023,Texas,Provider D,850.58,32,720p,1,9
4/5/2023,Texas,Provider E,436.62,29,1440p,1,1
4/5/2023,Illinois,Provider A,741.56,43,480p,1,3
4/5/2023,Illinois,Provider B,201.29,49,1080p,2,10
4/5/2023,Illinois,Provider C,925.15,77,4K,2,8
4/5/2023,Illinois,Provider D,637.17,19,4K,4,6
4/5/2023,Illinois,Provider E,80.15,46,1440p,4,3
4/6/2023,Cali,Provider A,671.45,65,1080p,3,0
4/6/2023,Cali,Provider B,303.75,47,1440p,1,0
